,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Female,Misdemeanor,Two_yr_Recidivism
918,1,1,0,1,1,1,0,1
920,0,0,1,0,0,0,0,0
921,1,0,1,0,1,0,0,1
922,2,0,1,0,0,0,0,0
923,6,1,0,0,0,0,1,0
924,1,0,0,1,1,0,1,1
926,0,0,0,0,1,0,0,0
928,9,1,0,0,1,0,0,1
929,2,1,0,0,0,0,1,0
930,0,1,0,1,0,0,1,1
931,18,1,0,0,1,0,1,0
932,5,1,0,0,0,1,0,1
933,1,1,0,1,1,0,0,1
934,0,1,0,1,1,1,0,0
935,8,0,1,0,0,0,0,0
936,7,0,1,0,1,0,0,0
937,3,0,0,0,0,0,0,0
938,2,1,0,1,0,1,0,0
940,3,1,0,1,1,1,0,1
941,3,0,1,0,0,0,1,1
942,4,1,0,0,0,0,1,0
943,1,0,1,0,0,0,1,0
945,0,0,0,1,0,1,1,0
946,1,0,0,0,0,1,0,0
947,0,0,0,0,1,0,1,1
948,16,1,0,0,1,0,0,1
949,4,1,0,0,1,0,1,1
950,0,0,0,1,1,0,0,0
951,12,1,0,0,1,0,1,1
952,0,0,0,0,0,0,1,0
953,0,0,0,0,0,1,1,0
954,9,1,0,0,1,0,0,1
955,5,1,0,0,1,0,0,1
956,11,1,0,0,1,0,0,1
957,1,0,1,0,1,0,0,1
958,1,0,1,0,1,1,0,0
959,1,0,0,0,1,0,1,1
960,5,0,1,0,1,0,0,0
961,6,1,1,0,0,1,1,0
962,0,0,0,0,0,0,1,0
963,0,1,0,1,1,1,0,0
964,14,1,0,0,1,1,0,0
966,1,0,0,0,0,0,1,1
967,0,0,1,0,0,1,1,0
968,0,0,0,1,0,0,0,1
969,0,1,1,0,0,1,0,0
970,0,0,0,0,0,0,1,0
971,0,1,0,1,1,1,0,0
972,0,0,0,0,0,0,1,0
973,4,1,0,0,0,0,0,1
974,0,0,0,0,0,1,1,0
975,0,0,1,0,1,0,0,0
976,2,0,0,1,1,0,0,1
978,1,0,0,1,0,0,1,0
979,0,1,0,1,1,0,0,1
980,2,1,0,0,1,1,0,0
981,3,0,0,0,0,0,1,0
983,9,1,0,0,1,0,1,0
984,0,1,0,1,1,0,0,0
986,9,1,0,0,1,0,0,1
988,3,0,1,0,1,0,0,0
990,0,0,0,1,1,0,0,1
991,3,1,0,0,1,1,0,1
992,4,1,1,0,1,0,1,0
993,0,0,0,1,1,1,1,0
994,0,0,0,0,0,0,1,0
995,4,1,0,0,1,0,0,1
996,2,1,0,0,0,1,0,1
1000,11,1,0,0,0,1,0,1
1001,6,0,0,0,1,1,0,1
1003,3,0,1,0,1,0,0,0
1004,3,0,0,0,0,1,1,0
1005,2,0,0,0,0,0,0,1
1007,0,1,0,0,0,1,0,0
1008,0,1,0,1,1,0,1,1
1010,0,0,0,0,0,0,0,0
1011,1,0,0,0,0,1,1,0
1013,8,1,1,0,0,0,0,1
1014,1,0,0,0,1,1,0,0
1015,0,0,0,0,1,0,1,0
1016,0,0,0,0,0,0,0,1
1017,5,1,0,0,1,0,0,1
1018,4,1,0,0,1,0,0,1
1019,7,1,0,0,1,0,0,1
1020,0,0,0,0,0,0,0,0
1021,3,0,0,0,1,0,0,0
1022,0,0,0,0,1,1,1,0
1023,1,1,0,1,0,0,0,1
1024,1,1,0,0,1,0,0,1
1025,0,0,0,0,1,0,1,1
1026,3,1,0,0,1,0,0,1
1027,1,0,0,0,1,0,1,0
1028,0,0,0,0,0,0,0,0
1030,0,1,0,1,1,0,1,0
1031,0,0,1,0,0,0,1,0
1032,0,0,0,1,1,0,0,0
1033,2,1,0,0,1,1,0,1
1034,0,0,0,0,1,0,1,0
1035,1,0,0,0,0,1,1,0
1036,2,1,0,1,1,0,1,1
1037,0,1,0,1,1,0,0,0
1041,12,0,1,0,1,0,0,0
1042,6,1,0,0,1,0,1,0
1043,2,0,0,0,1,0,1,1
1044,4,1,0,1,0,0,1,0
1045,0,0,0,0,1,0,1,1
1046,4,1,0,0,1,0,0,1
1047,1,1,0,1,0,0,0,1
1049,0,0,0,0,0,1,0,1
1050,1,0,0,0,1,0,0,0
1052,3,0,0,0,0,0,1,0
1053,1,0,0,1,1,0,0,1
1054,0,1,0,1,0,0,1,1
1055,0,0,1,0,0,0,1,0
1056,3,0,1,0,0,0,0,1
1057,0,0,0,1,1,0,0,0
1058,0,1,0,1,1,0,0,0
1059,4,1,0,0,1,0,0,1
1060,2,0,1,0,0,0,0,0
1061,0,0,0,0,0,1,0,1
1062,9,1,0,0,0,0,1,1
1063,0,1,0,1,1,0,0,1
1065,5,0,1,0,0,1,1,0
1066,4,0,0,0,1,0,0,1
1069,1,0,1,0,0,1,1,0
1070,0,0,0,0,0,0,1,0
1071,1,1,0,0,0,1,1,0
1072,0,0,0,1,0,0,0,1
1073,0,0,0,0,1,0,1,0
1074,2,0,0,0,0,0,1,0
1075,0,0,0,1,1,0,0,1
1076,0,0,0,0,1,0,0,0
1077,4,0,1,0,0,0,0,0
1079,1,0,0,1,1,0,0,0
1080,0,1,0,1,1,0,1,0
1082,1,0,0,0,0,0,1,1
1085,0,0,0,0,0,0,1,0
1086,2,1,0,0,0,0,0,1
1087,5,1,0,0,1,1,0,1
1089,1,0,0,0,1,1,0,0
1091,2,1,0,0,1,0,0,0
1092,0,0,1,0,0,0,1,0
1093,1,0,0,0,1,0,0,0
1095,6,1,0,1,0,0,0,1
1097,0,0,0,0,1,0,0,0
1098,4,0,1,0,0,0,1,0
1099,7,0,1,0,1,0,0,1
1100,0,1,0,0,0,0,0,1
1101,7,1,0,0,0,0,1,1
1102,7,0,1,0,0,0,0,1
1103,0,0,0,0,1,0,1,0
1104,12,1,1,0,0,0,1,0
1105,0,1,0,1,1,0,0,1
1106,4,0,0,0,1,0,1,1
1107,0,0,0,0,1,0,1,0
1108,0,0,0,0,0,0,1,0
1111,5,1,1,0,0,1,0,0
1112,4,0,0,0,1,0,0,1
1113,0,1,0,0,1,0,0,1
1114,2,0,0,0,1,0,0,0
1115,2,0,0,0,0,0,0,0
1116,0,0,0,0,1,0,0,1
1117,0,0,0,0,1,0,1,0
1120,4,0,1,0,1,1,0,0
1122,1,0,0,1,0,1,1,0
1123,2,1,0,1,1,0,0,1
1124,0,1,0,0,0,0,0,1
1125,2,0,0,0,0,0,0,0
1126,0,1,0,1,1,0,1,0
1127,0,0,0,0,0,0,0,0
1128,6,1,0,1,1,0,0,0
1129,6,0,0,0,1,0,0,0
1130,15,1,0,0,1,0,0,1
1131,0,1,0,1,1,0,0,1
1133,1,0,0,0,1,0,0,1
1134,1,0,1,0,1,0,0,0
1136,8,1,1,0,1,0,0,1
1137,2,0,0,0,0,0,1,0
1138,6,0,0,0,0,0,0,0
1139,0,0,0,1,1,0,0,0
1140,2,1,0,0,1,0,1,0
1141,11,1,0,0,1,0,1,1
1143,0,1,0,1,0,1,1,0
1144,7,1,0,0,1,0,0,1
1145,1,1,0,0,1,0,1,0
1146,4,1,0,0,0,0,0,1
1147,3,0,0,0,1,0,1,0
1148,2,1,0,1,1,0,0,1
1149,1,1,0,1,1,0,1,1
1150,0,0,0,0,1,0,0,0
1151,0,0,0,1,1,1,1,0
1152,0,0,0,0,0,1,1,0
1153,1,0,0,0,1,0,1,0
1154,0,0,1,0,0,0,0,0
1155,17,1,1,0,0,0,0,1
1156,0,0,1,0,0,1,1,0
1157,1,0,0,0,1,1,0,0
1158,0,0,0,0,0,0,1,0
1159,10,0,0,0,0,0,0,1
1160,2,0,0,0,1,0,0,1
1162,0,1,0,1,1,0,0,1
1164,0,1,0,0,0,0,0,0
1165,3,1,0,1,1,0,0,0
1166,0,0,0,0,1,0,1,0
1167,2,1,0,1,1,0,0,1
1168,0,0,0,0,0,0,1,0
1169,2,1,0,0,1,0,0,0
1170,4,0,0,0,1,1,0,0
1171,1,1,0,0,0,0,1,1
1172,7,0,0,0,0,0,1,0
1173,3,0,0,0,1,0,0,1
1174,0,0,0,1,1,0,0,0
1175,2,0,1,0,0,0,1,1
1176,0,1,0,0,1,0,0,0
1179,1,1,0,1,1,0,1,0
1180,19,1,0,0,1,0,0,1
1181,1,0,1,0,0,1,0,0
1182,0,0,0,0,0,0,0,1
1183,0,0,0,0,0,1,0,1
1184,0,0,0,0,1,0,0,0
1185,14,1,0,0,1,1,0,1
1186,0,0,0,0,1,0,0,1
1187,3,1,0,0,1,0,0,1
1188,2,0,0,0,0,0,1,1
1189,2,0,0,0,1,1,0,0
1190,3,1,0,1,1,0,0,1
1192,1,1,1,0,0,0,0,1
1193,1,0,0,1,1,1,1,1
1194,2,0,1,0,0,0,1,0
1195,0,0,0,0,0,0,1,0
1196,0,0,0,0,1,1,1,0
1197,0,0,0,0,0,0,0,0
1198,0,0,1,0,1,0,1,1
1199,8,1,0,0,1,1,0,1
1201,1,0,0,0,0,0,0,0
1202,1,1,0,1,1,0,0,0
1203,1,1,0,1,1,0,0,0
1204,1,0,0,0,0,0,1,1
1205,3,0,0,0,1,0,0,1
1206,9,0,1,0,1,0,1,0
1208,20,1,0,0,1,0,0,1
1209,1,1,0,0,1,1,0,1
1210,0,0,0,0,1,0,1,0
1211,5,1,0,1,0,0,1,1
1212,1,0,0,0,0,0,0,1
1213,0,0,0,1,1,0,1,1
1214,6,0,0,0,0,1,0,1
1215,2,0,0,0,1,1,1,0
1216,8,1,0,0,1,0,0,1
1217,4,0,1,0,1,0,1,0
1218,1,0,1,0,0,0,0,0
1219,2,0,1,0,0,1,0,0
1220,0,1,0,1,1,1,1,0
1221,2,1,0,0,1,0,1,0
1222,9,1,1,0,1,0,0,1
1223,2,1,0,0,1,0,0,1
1225,5,1,0,1,1,0,0,1
1226,3,1,0,1,1,0,0,1
1227,2,0,0,0,1,0,0,0
1228,3,0,0,0,0,0,0,0
1229,1,0,0,0,1,1,1,0
1230,15,0,1,0,1,0,1,1
1231,3,0,1,0,0,0,1,1
1232,3,0,1,0,1,0,1,0
1234,1,1,0,1,0,1,0,0
1235,2,1,0,0,0,0,1,1
1236,3,0,0,1,1,0,0,1
1237,12,1,0,1,1,0,1,1
1238,3,1,0,1,0,0,0,1
1240,6,1,0,0,0,0,0,0
1241,4,0,0,0,1,0,0,1
1242,4,1,0,1,1,0,0,0
1243,7,1,0,0,0,1,1,0
1244,5,1,0,0,1,0,0,1
1245,1,1,1,0,0,1,0,0
1246,1,1,0,1,1,0,0,0
1247,6,1,0,0,1,0,0,1
1248,1,1,0,1,1,1,0,0
1249,15,1,0,0,1,0,0,1
1251,0,0,1,0,0,0,0,0
1252,0,1,0,1,0,1,0,1
1253,5,0,0,0,1,0,0,0
1254,1,0,1,0,1,1,0,0
1255,0,0,0,1,1,0,1,1
1257,5,1,0,0,0,1,0,0
1258,14,0,1,0,0,0,1,1
1260,5,1,0,0,0,0,1,1
1261,0,0,1,0,0,0,1,1
1262,2,1,0,0,1,0,1,0
1264,8,1,0,0,1,0,1,1
1265,0,0,0,0,0,0,1,0
1266,7,0,0,0,1,0,0,0
1268,12,1,0,0,1,0,1,1
1269,3,1,0,1,0,1,1,1
1270,1,0,0,0,1,0,0,1
1271,1,0,1,0,0,0,1,0
1272,0,0,0,0,0,0,0,0
1273,0,0,0,0,0,0,0,0
1274,0,0,0,1,0,0,0,0
1275,5,1,0,1,0,0,0,1
1276,4,1,0,0,0,0,0,1
1277,13,1,1,0,0,0,0,1
1278,0,0,0,0,0,1,1,0
1279,1,0,1,0,0,0,1,0
1280,11,1,1,0,0,0,1,0
1282,3,0,0,0,1,0,0,0
1284,0,0,1,0,0,0,1,0
1285,6,1,0,0,1,0,0,1
1286,0,1,0,1,0,0,0,1
1287,0,0,0,1,1,1,0,1
1288,7,1,0,0,1,0,1,1
1289,15,1,0,0,1,0,0,0
1291,12,1,0,0,1,0,0,0
1292,14,1,1,0,1,0,0,1
1294,14,1,0,0,1,0,0,1
1295,0,0,1,0,0,0,0,0
1297,4,1,0,0,1,0,0,1
1298,2,1,0,1,1,0,0,1
1300,11,1,0,0,1,1,0,0
1301,3,0,1,0,0,0,0,0
1302,2,1,0,1,1,1,1,1
1303,3,1,1,0,1,0,0,0
1304,7,1,0,0,1,0,1,1
1305,0,0,1,0,1,0,1,0
1306,0,0,1,0,0,0,1,0
1307,0,0,0,1,1,0,0,1
1308,0,0,0,1,1,0,1,1
1309,6,0,1,0,0,0,0,1
1310,2,0,1,0,0,1,1,1
1311,5,0,0,0,0,0,0,0
1312,1,0,1,0,0,0,0,0
1314,0,0,0,0,1,1,1,0
1315,2,0,0,0,0,0,1,0
1316,0,1,1,0,1,0,0,0
1317,0,0,0,1,1,0,1,0
1318,14,1,0,0,1,0,0,1
1320,24,1,1,0,1,0,0,1
1322,2,1,0,1,1,1,0,1
1323,0,0,0,0,1,0,1,1
1324,0,1,0,1,0,0,0,1
1326,3,0,0,0,1,0,1,0
1327,15,1,0,0,1,0,0,1
1328,10,0,0,0,1,0,0,1
1329,0,0,0,1,1,0,0,0
1330,2,1,0,0,0,0,0,1
1331,0,0,1,0,0,1,1,0
1332,1,0,1,0,0,1,0,0
1334,11,1,0,0,1,0,0,0
1335,2,0,0,0,1,0,1,0
1336,15,1,1,0,1,0,0,1
1337,0,0,0,1,1,1,0,0
1338,1,0,1,0,1,1,0,0
1340,1,0,1,0,0,1,1,0
1342,6,1,0,0,1,1,0,0
1343,6,0,0,0,0,0,0,0
1345,0,0,1,0,0,0,0,0
1346,0,0,0,0,0,0,1,1
1347,1,0,0,0,1,0,0,0
1348,11,1,0,0,0,0,0,1
1349,9,1,0,0,1,0,0,1
1350,1,0,0,0,0,0,0,0
1351,8,0,1,0,1,0,0,1
1352,0,0,0,1,0,1,0,0
1353,0,0,0,0,1,0,0,0
1356,8,1,0,1,1,0,0,1
1358,2,1,1,0,1,0,1,0
1359,5,1,0,0,1,0,0,1
1360,0,0,0,1,0,0,0,1
1361,0,1,0,1,1,0,0,1
1362,0,0,1,0,0,0,1,0
1363,5,1,1,0,0,1,1,1
1365,9,1,0,0,0,0,0,0
1367,0,1,0,0,1,0,0,0
1368,3,0,1,0,0,0,0,1
1369,12,1,1,0,1,0,0,0
1370,2,1,0,0,1,0,0,0
1371,6,1,0,0,1,0,0,0
1372,8,1,1,0,1,0,0,1
1374,13,1,0,0,1,0,0,1
1375,9,1,0,0,0,0,0,1
1376,0,0,0,0,1,0,0,0
1377,8,1,0,0,1,0,1,1
1378,1,0,0,0,1,0,0,0
1379,0,0,0,0,1,0,1,0
1380,0,0,1,0,0,0,1,0
1381,2,0,0,0,1,1,0,0
1382,7,1,0,0,0,1,1,0
1383,1,1,0,0,1,0,0,1
1384,0,0,1,0,0,1,1,1
1386,8,1,0,0,1,0,0,1
1387,6,1,0,0,0,1,0,1
1388,2,1,0,1,1,1,0,1
1389,0,1,0,1,0,0,0,0
1391,2,0,1,0,0,0,1,0
1392,3,1,1,0,0,0,0,1
1393,0,0,0,1,1,0,0,0
1395,7,1,0,0,1,1,0,1
1396,0,0,0,1,0,0,1,1
1397,5,1,0,0,1,0,1,0
1398,1,1,0,1,1,0,0,1
1400,21,1,0,0,1,0,0,1
1401,13,1,0,1,1,0,0,1
1402,23,1,0,0,1,0,0,1
1403,11,1,0,0,1,0,0,0
1404,1,0,0,1,1,0,0,0
1405,24,1,0,0,1,0,0,1
1406,1,1,0,1,1,1,0,0
1407,19,0,1,0,1,0,0,0
1409,0,0,0,0,0,0,0,0
1410,0,0,1,0,0,0,1,0
1411,0,0,0,0,1,0,1,1
1412,0,1,0,1,1,0,0,1
1413,6,1,0,0,1,0,1,0
1414,0,1,0,1,0,0,1,1
1415,1,0,1,0,0,0,0,1
1416,27,1,1,0,1,0,1,0
1417,0,0,0,0,1,1,1,0
1418,1,0,1,0,0,0,1,0
1419,0,0,0,1,0,0,0,0
1420,1,0,1,0,0,0,0,0
1421,24,1,0,0,1,0,0,0
1422,13,1,0,0,0,0,0,1
1423,0,0,1,0,1,0,0,0
1424,1,1,0,0,1,0,0,1
1425,1,0,1,0,1,0,1,0
1426,8,0,1,0,0,1,0,0
1427,0,1,0,1,1,0,0,0
1428,0,1,0,1,0,0,0,1
1429,2,1,0,0,0,1,0,1
1432,2,1,0,0,1,0,1,0
1433,1,1,0,0,0,0,1,0
1434,14,1,1,0,1,0,0,1
1435,0,0,0,0,0,0,1,0
1436,4,1,0,1,1,0,0,1
1437,2,1,0,0,1,1,0,1
1438,4,1,0,0,0,1,0,1
1439,2,1,0,1,0,0,0,0
1440,1,1,0,0,0,1,0,1
1441,1,1,0,1,0,0,0,1
1443,0,0,0,0,1,1,1,0
1444,1,0,1,0,0,0,0,0
1445,4,0,0,0,0,1,0,0
1446,3,1,0,1,1,0,0,0
1447,1,0,0,0,0,0,0,0
1450,3,1,0,1,1,0,1,1
1451,0,0,0,0,0,0,1,1
1452,3,1,0,0,1,1,0,0
1453,1,0,1,0,1,0,0,0
1455,6,0,1,0,1,0,0,0
1456,7,1,0,0,1,0,0,1
1457,10,1,0,0,1,0,0,0
1458,0,0,1,0,0,1,1,0
1459,0,0,0,0,1,0,1,1
1460,9,1,0,0,1,0,0,0
1461,1,0,1,0,1,0,0,0
1462,1,0,0,0,1,1,1,0
1463,0,0,1,0,0,0,0,0
1464,6,0,0,0,0,0,0,0
1465,0,0,1,0,1,0,0,0
1467,27,1,0,0,1,0,0,1
1468,3,0,0,0,1,0,0,0
1469,7,1,0,0,1,0,1,1
1470,1,1,0,0,0,0,0,1
1471,8,0,0,0,1,0,0,0
1472,0,0,1,0,1,0,0,1
1473,8,1,0,0,1,0,0,0
1474,4,0,1,0,0,0,0,0
1475,15,1,1,0,1,0,0,1
1476,7,1,0,0,0,0,0,1
1477,7,1,0,0,0,0,0,1
1478,0,0,0,1,0,0,1,0
1479,0,0,0,0,1,0,1,0
1482,0,0,0,0,0,0,0,0
1483,1,0,0,0,0,0,1,1
1484,1,0,1,0,0,0,0,0
1485,0,0,0,0,1,1,0,0
1486,4,0,1,0,1,0,1,0
1487,3,1,0,0,1,0,1,0
1488,0,0,0,1,1,0,0,0
1489,1,0,1,0,0,0,0,0
1490,2,0,0,0,0,0,0,0
1491,0,1,0,0,1,0,0,1
1492,0,1,0,1,0,0,0,0
1493,3,0,0,0,0,1,0,0
1494,7,1,0,0,1,0,0,1
1495,5,1,0,0,1,0,0,1
1496,1,0,0,1,1,0,0,0
1497,2,0,0,0,0,0,0,1
1498,2,1,0,1,0,0,0,0
1499,0,0,0,1,1,0,1,0
1500,0,0,0,0,0,1,1,0
1501,0,1,0,0,1,0,0,0
1502,1,0,0,0,1,0,0,0
1503,1,0,0,0,1,0,0,0
1504,0,0,1,0,0,0,1,0
1505,0,1,0,1,1,1,0,0
1506,0,0,1,0,0,0,1,0
1507,3,0,0,0,1,0,0,1
1508,2,0,0,0,1,1,1,0
1509,4,0,1,0,0,1,0,1
1510,0,0,1,0,1,0,1,0
1512,2,0,0,0,1,0,0,0
1513,0,0,1,0,0,1,0,1
1514,0,0,0,1,1,0,0,0
1515,3,1,1,0,1,0,0,0
1516,0,0,0,0,1,0,0,1
1517,5,1,0,0,1,0,1,0
1518,0,0,0,0,0,0,0,1
1519,4,0,0,0,0,0,1,0
1521,5,1,0,0,0,0,0,1
1522,0,0,0,0,1,1,0,1
1523,1,0,0,1,1,0,0,1
1527,4,1,0,0,1,0,0,1
1528,6,0,1,0,0,0,0,1
1531,23,1,1,0,1,0,0,1
1532,13,1,0,0,1,0,0,1
1533,9,1,0,0,1,0,0,1
1535,0,1,0,0,0,0,0,0
1536,1,0,1,0,0,0,1,1
1537,0,0,0,0,0,0,1,0
1538,7,1,0,0,1,0,1,0
1539,5,1,0,0,1,0,0,0
1541,0,1,1,0,0,0,1,0
1542,5,1,0,0,1,0,0,1
1543,0,1,0,0,0,1,1,0
1544,0,0,0,0,1,0,0,0
1545,6,1,0,0,0,0,1,0
1546,2,1,0,0,1,0,0,0
1547,3,1,0,1,1,0,0,1
1548,2,0,0,0,0,0,1,0
1549,0,0,0,0,1,1,1,0
1550,8,1,0,0,1,0,0,1
1551,2,0,1,0,0,0,1,1
1553,3,0,0,0,0,0,1,0
1554,2,1,0,1,1,0,1,1
1555,14,1,1,0,1,1,1,1
1556,9,1,0,0,0,0,1,1
1557,9,1,0,0,0,0,1,0
1558,1,0,0,0,1,0,1,0
1559,0,0,1,0,0,0,1,0
1560,19,1,0,0,1,0,1,1
1561,1,0,0,0,1,0,0,0
1562,0,1,0,0,1,1,0,1
1563,0,0,1,0,0,0,0,0
1564,0,0,0,0,0,0,1,0
1565,5,1,0,0,1,0,1,0
1566,11,1,0,0,1,0,0,0
1567,4,0,0,0,0,0,1,1
1568,0,0,0,0,1,0,1,1
1569,0,1,0,1,1,0,1,0
1570,0,0,0,0,0,0,1,0
1571,10,0,0,0,1,0,1,1
1573,0,0,0,1,1,0,0,0
1574,5,0,0,0,0,0,1,1
1575,1,1,0,0,0,0,0,0
1576,0,1,0,1,1,0,0,1
1577,0,0,1,0,0,0,1,0
1578,3,0,0,0,0,1,0,0
1580,1,0,0,1,0,0,0,1
1581,0,1,0,1,1,1,1,1
1583,4,0,1,0,1,0,0,0
1585,3,0,1,0,1,1,1,0
1586,3,1,0,1,0,0,1,0
1587,0,0,0,1,1,0,0,1
1588,0,0,0,0,0,0,1,0
1590,10,1,1,0,0,0,0,1
1591,1,0,0,0,0,0,0,1
1592,0,1,0,1,0,0,1,1
1594,0,1,0,0,1,0,0,0
1595,19,1,0,0,1,0,0,1
1596,1,0,0,0,1,1,1,1
1597,6,1,0,0,1,0,0,0
1598,2,1,0,0,1,0,0,0
1599,11,1,0,0,0,0,0,1
1600,0,0,0,0,1,0,0,0
1601,1,1,0,0,1,0,0,1
1603,7,0,0,0,1,0,0,1
1604,2,0,0,1,1,0,0,1
1605,0,0,0,0,0,0,0,0
1607,2,1,0,1,1,0,1,1
1608,0,1,0,1,1,0,0,1
1609,15,1,0,0,0,0,0,1
1610,2,0,0,0,1,0,1,1
1611,10,1,0,0,1,0,0,1
1612,0,0,0,0,0,0,1,0
1613,8,0,1,0,0,0,0,0
1614,14,1,0,0,1,0,0,1
1615,13,1,0,0,1,0,0,1
1616,9,1,0,0,1,0,0,1
1617,0,0,0,0,1,0,1,0
1619,1,0,1,0,1,0,0,0
1620,4,1,0,0,1,0,0,0
1621,1,1,0,0,0,0,0,1
1622,0,0,0,0,0,1,1,0
1623,3,1,0,1,1,0,1,0
1624,6,1,0,0,1,0,0,1
1625,0,0,0,0,0,0,1,0
1626,3,1,0,1,1,0,0,1
1627,0,1,0,1,1,0,0,0
1628,0,0,0,0,0,0,1,0
1629,18,1,0,0,1,0,1,0
1630,1,1,0,0,1,0,0,0
1631,2,0,0,0,0,0,0,1
1632,3,0,0,0,0,0,1,0
1633,5,1,1,0,1,0,1,0
1636,0,0,0,1,1,0,0,1
1637,7,1,0,0,1,0,0,1
1638,1,0,0,0,1,0,1,0
1639,0,0,0,1,0,0,0,0
1640,10,1,0,0,1,0,1,1
1641,0,0,0,0,1,0,0,0
1642,2,0,0,0,1,0,0,0
1643,8,1,0,0,1,0,0,1
1644,1,0,0,0,1,0,0,1
1645,0,0,1,0,0,0,1,0
1646,1,0,0,0,1,0,0,0
1647,0,1,0,1,0,0,0,1
1648,1,0,0,0,1,0,0,0
1649,6,1,0,1,1,1,1,0
1650,0,0,0,0,0,0,0,0
1651,1,0,0,0,0,0,0,0
1652,0,0,0,0,1,0,0,0
1653,0,0,0,1,1,0,0,0
1654,0,0,0,1,0,0,0,0
1655,1,0,0,0,1,0,1,0
1656,9,1,1,0,0,0,1,0
1657,2,1,0,0,1,0,1,0
1658,0,1,0,0,1,0,0,1
1659,1,0,0,0,1,0,1,0
1660,0,0,0,0,0,0,0,0
1661,1,0,0,1,0,0,0,1
1663,4,0,0,0,1,0,1,1
1664,3,0,1,0,0,0,1,1
1666,0,0,1,0,1,0,0,0
1667,8,1,1,0,1,0,0,1
1668,5,1,0,0,1,0,1,0
1669,9,1,0,0,1,0,0,0
1670,5,1,1,0,1,0,0,1
1671,0,0,0,0,0,1,0,0
1672,5,0,1,0,1,0,1,0
1673,0,0,1,0,0,0,0,1
1674,2,0,1,0,0,0,0,0
1675,0,0,1,0,0,0,1,0
1676,4,0,1,0,1,0,0,1
1677,0,0,0,0,1,1,0,0
1680,21,1,0,0,1,0,0,1
1682,1,0,0,0,1,0,0,0
1683,8,1,0,0,1,0,0,1
1684,1,1,0,1,1,0,0,0
1685,0,0,1,0,0,0,1,0
1686,1,1,0,1,1,0,0,1
1687,1,0,1,0,0,0,1,1
1688,0,0,1,0,0,0,1,1
1689,2,1,1,0,1,0,0,0
1690,11,1,0,0,1,1,0,1
1691,4,1,0,0,1,0,1,0
1692,14,1,0,0,1,0,0,1
1693,2,1,0,0,1,0,0,0
1694,5,0,1,0,1,0,0,1
1695,0,1,0,0,1,0,0,1
1696,7,1,0,0,0,0,0,1
1697,8,0,0,0,1,0,0,0
1699,1,0,0,0,1,1,1,0
1700,4,0,0,0,0,0,0,0
1701,0,0,0,0,1,1,1,0
1703,1,0,0,0,0,0,0,1
1704,1,0,1,0,1,0,0,0
1705,0,0,0,0,0,0,1,1
1706,4,0,0,0,1,1,1,0
1707,4,0,0,0,1,0,0,0
1708,0,0,1,0,1,0,1,0
1709,2,0,0,0,1,0,1,0
1710,5,0,1,0,1,0,0,0
1711,0,0,0,0,1,0,0,0
1712,4,1,0,0,1,0,0,1
1713,0,1,0,0,1,0,1,0
1714,1,0,0,0,0,0,1,0
1715,1,0,0,0,1,1,0,0
1716,13,1,0,0,1,0,1,1
1717,9,1,0,0,1,0,0,0
1718,1,0,0,0,0,0,0,0
1719,0,0,0,0,0,0,0,0
1720,1,0,0,0,0,1,1,0
1721,3,0,0,0,1,0,0,0
1722,7,0,1,0,1,1,1,0
1723,0,1,0,1,1,0,0,0
1725,2,1,0,0,1,0,0,1
1726,0,0,0,1,1,1,1,0
1727,1,1,0,0,1,0,0,0
1728,1,1,0,1,0,1,0,0
1729,13,1,0,0,1,0,1,1
1730,0,0,1,0,1,0,0,0
1731,2,0,0,0,1,0,0,0
1733,0,0,1,0,0,0,1,0
1734,0,0,0,1,0,0,1,1
1735,0,1,0,0,1,0,0,0
1738,1,1,0,1,1,0,0,1
1739,3,1,0,1,1,0,0,1
1740,2,0,0,0,1,0,1,0
1742,2,0,1,0,0,0,1,0
1743,1,0,1,0,1,0,0,0
1746,1,0,0,1,1,0,1,1
1747,0,0,0,0,0,1,1,0
1748,2,1,1,0,0,0,1,0
1749,11,1,0,0,1,0,0,1
1751,7,1,0,0,1,0,0,1
1753,7,1,0,0,0,1,0,0
1754,0,0,0,0,0,0,0,0
1757,4,0,1,0,0,0,0,0
1758,0,0,0,1,0,0,0,0
1759,1,1,0,0,1,0,0,0
1760,0,0,0,0,0,0,0,0
1761,1,1,0,1,1,0,0,1
1763,7,1,0,0,0,0,1,1
1764,0,0,0,0,0,0,1,0
1765,13,1,0,0,1,0,0,1
1766,2,1,0,0,0,0,0,1
1767,0,0,0,1,0,0,0,1
1768,4,1,0,0,1,0,0,1
1769,0,0,1,0,0,0,1,0
1770,0,1,0,0,1,1,1,1
1772,1,0,1,0,0,0,1,1
1773,4,1,0,0,1,0,0,0
1774,5,1,0,1,0,0,0,1
1775,0,1,0,1,0,0,0,1
1776,2,1,0,0,1,0,0,0
1777,1,0,0,0,1,0,0,1
1779,0,0,0,1,1,0,0,0
1780,4,0,0,0,1,0,0,0
1781,0,0,0,0,0,0,1,0
1784,1,0,0,0,1,0,0,1
1785,0,1,0,1,0,1,0,0
1786,2,0,1,0,0,0,1,0
1787,9,1,0,0,1,0,0,0
1789,0,0,0,0,1,1,1,0
1790,3,1,0,1,1,0,0,0
